roomKnockDeny	GETTER
roomKnocking	GETTER
roomKnockWants	CALL(knock.name)
roomLeave	GETTER
roomLocationMap	GETTER
roomMute	GETTER
roomPeopleHere	CALL(count)
roomStatusBusy	GETTER
roomStatusEars	GETTER
roomStatusFree	GETTER
roomUnmute	GETTER
settingsAuthModeCircle	GETTER
settingsAuthModeNone	GETTER
settingsAuthModeToken	GETTER
settingsBackground	GETTER
settingsBackgroundDenied	GETTER
settingsBackgroundGranted	GETTER
settingsBackgroundIos	GETTER
settingsBackgroundSub	GETTER
settingsContentPolicy	GETTER
settingsContentPolicySub	GETTER
settingsDnd	GETTER
settingsDndConfirm	GETTER
settingsDndFrom	GETTER
settingsDndOff	GETTER
settingsDndTo	GETTER
settingsDndTurnOff	GETTER
settingsGroupCircle	GETTER
settingsGroupSafety	GETTER
settingsGroupSound	GETTER
settingsHomeWidget	GETTER
settingsHomeWidgetSub	GETTER
settingsHomeWidgetUnsupported	GETTER
settingsNoiseEnhanced	GETTER
settingsNoiseOff	GETTER
settingsNoiseStandard	GETTER
settingsNoiseSuppression	GETTER
settingsPickPrimaryCircle	GETTER
settingsPrimaryCircle	GETTER
settingsPrimaryCircleNone	GETTER
settingsPrimaryCircleSub	CALL( circleStore.primaryCircle!.name, )
settingsRecording	GETTER
settingsRecordingOff	GETTER
settingsRecordingOn	GETTER
settingsRecordingStart	GETTER
settingsRecordingStartFailed	GETTER
settingsRecordingStop	GETTER
settingsServer	GETTER
settingsServerAdd	GETTER
settingsServerAuthLabel	GETTER
settingsServerBiometricFailed	GETTER
settingsServerBiometricReason	GETTER
settingsServerBuiltIn	GETTER
settingsServerCircleId	GETTER
settingsServerCirclePasscode	GETTER
settingsServerCount	CALL(count)
settingsServerDefaultLabel	GETTER
settingsServerDelete	GETTER
settingsServerEdit	GETTER
settingsServerEditTitle	GETTER
settingsServerListTitle	GETTER
settingsServerName	GETTER
settingsServerNameHint	GETTER
settingsServerPlaintextWarning	GETTER
settingsServerSave	GETTER
settingsServerSaved	GETTER
settingsServerTest	GETTER
settingsServerTokenHint	GETTER
settingsServerUrl	GETTER
settingsTitle	GETTER
settingsWifiOnlyHq	GETTER
settingsWifiOnlyHqSub	GETTER
updateAndroidInstallerOpened	GETTER
updateAutoCheckSubtitle	GETTER
updateAutoCheckTitle	GETTER
updateCheckNow	GETTER
updateCurrentVersion	CALL('…')
updateDownload	GETTER
updateDownloading	GETTER
updateDownloadWithSize	CALL(mb.toStringAsFixed(1))
updateErrAndroidInstallerNotOpened	GETTER
updateErrAndroidLaunchFailed	CALL(f.text ?? '')
updateErrChecksum	GETTER
updateErrDownloadFailed	CALL(f.text ?? '')
updateErrDownloadHttp	CALL(f.number ?? 0)
updateErrDownloadTimeout	GETTER
updateErrGithubRefused	CALL(f.number ?? 0)
updateErrHttp	CALL(f.number ?? 0)
updateErrInstallFailed	GETTER
updateErrIosCannotInstall	GETTER
updateErrIosNoSelfUpdate	GETTER
updateErrMalformed	GETTER
updateErrNoAsset	GETTER
updateErrNoReleases	GETTER
updateErrNotDownloaded	GETTER
updateErrOffline	GETTER
updateErrRateLimited	GETTER
updateErrRateLimitedUntil	CALL(f.number!)
updateErrSizeMismatch	CALL(f.number ?? 0, f.number2 ?? 0)
updateErrTimeout	GETTER
updateErrUnknownVersion	CALL(f.text ?? '')
updateErrWinLaunchFailed	CALL(f.text ?? '')
updateErrWinNoInstallDir	GETTER
updateErrWinNotWritable	GETTER
updateErrWinPackageInvalid	CALL(f.text ?? '')
updateErrWinProbeFailed	CALL(f.text ?? '')
updateErrWinUnzipFailed	CALL(f.text ?? '')
updateGotIt	GETTER
updateInstallAndRestart	GETTER
updateInstallConfirmBody	GETTER
updateInstallConfirmTitle	GETTER
updateInstallNow	GETTER
updateInstallStarted	GETTER
updateIntegrityFull	GETTER
updateIntegrityNone	GETTER
updateIntegritySizeOnly	GETTER
updateLater	GETTER
updateMacosDragToApps	GETTER
updateNextStepsTitle	GETTER
updateNoReleaseNotes	GETTER
updateNoticeIos	GETTER
updateNoticeMacos	GETTER
updateNoticeNoAssetForPlatform	GETTER
updateNoticeWeb	GETTER
updateQuitting	GETTER
updateRevealFolder	GETTER
updateStatusAvailable	CALL(state.info?.latestDisplay ?? '')
updateStatusCheckFailed	GETTER
updateStatusChecking	GETTER
updateStatusDownloading	GETTER
updateStatusIdle	GETTER
updateStatusReady	GETTER
updateStatusUpToDate	GETTER
updateTitle	GETTER
updateVersionUnknown	GETTER
updateWinRestarting	GETTER
